Name,Text
Methodist Church,"National Union Catalog of :  The following collections have been re- ported to the National Union Catalog of Manu- scripts as the ""Methodist Church Papers."" The papers are: ""Methodist Church,"" ""Methodist Episcopal Church, South, North Carolina Con- ference. Durham District Duke Memorial Church,"" ""Methodist Episcopal Church, South, North Carolina Conference. Women's Missionary Society,"" ""Methodist Episcopal Church South. Western North Carolina Conference. ..."" the volumes in the volumes file, 4nd the papers of various ministers which may be found in the Union List categories,"
Methodist Church,"Methodist Church Papers, 1764-1981  Vv. Pp. 8-5-37 760 items 1-25-51 13 7 Cab. a 1-26-51 156 ""  (Seé also bd. 4-37-51 1 item ""  6-9-5232 1 vol GUIDE. 5-16-57 i "" 3! 12-4-57 i §$ “E SHELF UST 5-15-58 63 items 12-19-57 Zz . + a-62 G43 tte  “IST"
Methodist Church,"Methodist Church. Papers, 1833-1866. Addition, 11 items.  Miscellaneous letters and documents relating to various aspects of Methodist (Protestant and Episcopal) Church history.  Purchase: 4/13/91 Accessioned: 1/2/92 Acc. No: 91-144"
Methodist Church,"Methodist Church  Papers, 1764-1981  Vv. De 998 items 1 item added, 5-24-60 Cab. 87 5 items added, 1-19-62 l item added, 9-21-62 i item, transf. 1-13-6 to the Presbyterian .  1 item added, 8-19- § item added, a2 Sab  @ 2 itemdedded, 12-6-65  SEE SHELF LIST"
Methodist Church,"Methodist Church Papers, 1764-1981 V.p.  Cab. 87  SEE SHELF LIST  2 items added, 6-12-62  2 vols. added, 7-31-67  1 vol. added, 8-10-67  56 items added, 12-19-68 4 items added, 5-7-69  1 vol. added, 5-13-69"""
Methodist Church,"Methodist Church Papers, 1764-1981 vV.Pp.  Cab. 87 1 item added, 12-9-69 14 items added, 1-10-70  SEE SNELF List 53 items & 17 vols. added, 10-28-70 3 items added, 5-10-71 2 items added, 6-2-72"
Methodist Church,"Methodist Church Papers, 1764-1981  v.p.  Cab. 87  SEE SHELF List  items added, 1-14-74 item added, 7-12-74  vol. transferred to Wn. F, Clegg ., 10-9-74 vol. transferred to John W. Lewis ., 10-9-74"
Methodist Church,"Methodist Church Papers, 1764-1981  V.p.  Cab. 87  GEE SHELF LIST  5 items added, 10-28-74  1 vol. transferred from Adv. Coll., 12-20-74  1 vol. added, 7-19-76  2 items added, 10-12-77  1 item added, 3-5-79  1 item added, 3-6-79"
Methodist Church,"Methodist Church Papers, 1764-1981 7. PD.  Cab. 87  SEF SHELF LIST  1 item &  1 2 26 2 1  vol. added, vols. added, items added, items added, item added,  3~21-79 4-25-80 3-31-81 7-14-82  1-25-84"
Methodist Church,"Methodist Church Papers, 1764-1981 Vepe  Cab. 87  SEE SHELF LIST  20 vols. added, 1-23-84 item added, 1-9-85 item added, 4-9-85 item added, 4-26-85 item added, 10-5-85 items & 10 vols. added  3-13-86"
